earthquake_id,location_name,scenario_latitude,scenario_longitude,infrastructure_type,name,infra_latitude,infra_longitude
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,39.002464,140.634504
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.96319,140.723666
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,仁郷大湯線,38.9805602,140.7449906
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,,38.95613,140.693417
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.999622,140.633767
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9938826,140.6824077
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,仁郷大湯線,38.983031,140.72511
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,38.9851647,140.6898004
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,秋ノ宮小安温泉線,39.003967,140.622674
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,39.001436,140.637354
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,38.9932783,140.6852844
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,39.004181,140.633899
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,仁郷大湯線,38.971951,140.71993
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.931791,140.719132
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,39.000296,140.632135
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,39.0028926,140.6696842
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,秋ノ宮小安温泉線,38.9980835,140.6187304
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9811152,140.7154481
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.002822,140.635391
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,39.001284,140.634464
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.963988,140.713857
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9684287,140.6141701
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,,39.0004899,140.6726642
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9743412,140.6216701
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.001937,140.634636
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.930897,140.713589
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9832839,140.7032702
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,39.005884,140.623635
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9667327,140.6281692
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.970367,140.693541
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9961042,140.6582298
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.877809,140.724899
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.886927,140.717544
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.860039,140.658375
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.878975,140.71291
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.859478,140.667785
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.893357,140.735554
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.837128,140.632128
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.89094,140.736149
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.874812,140.691746
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.837681,140.693813
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.842299,140.634175
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.881845,140.667955
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.887738,140.734063
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.868148,140.619818
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.870158,140.695155
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.881013,140.632976
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.87792,140.716128
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.868717,140.697788
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.875137,140.630947
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.841028,140.621438
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.8491065,140.6360614
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.840247,140.696914
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.847303,140.678664
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.872164,140.627243
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.858503,140.64601
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.844575,140.705604
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.879352,140.688217
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.829401,140.69733
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.878407,140.705913
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.849935,140.669008
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.890707,140.733124
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.886925,140.663754
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.880593,140.720024
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.84108,140.623964
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.849435,140.713601
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.866812,140.621875
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.871313,140.621751
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.863146,140.629912
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.835933,140.696449
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.865967,140.64223
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.871102,140.6368
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.869926,140.645893
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.843939,140.687858
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.84068,140.708074
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.887501,140.643822
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.880464,140.67363
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.876038,140.653064
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.880524,140.661008
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.866707,140.631493
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.877301,140.696139
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.888521,140.653257
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.870116,140.617068
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.882259,140.681639
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.871865,140.715661
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.856387,140.661732
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.864834,140.708822
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.883979,140.737537
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.87542,140.666584
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.887205,140.738325
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.879002,140.666785
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.847308,140.636143
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.87986,140.668064
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.844579,140.630341
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.865957,140.626771
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.867475,140.741128
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.8557533,140.7151734
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.843327,140.64026
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.85086,140.6367002
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.824518,140.636868
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.835837,140.698443
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,38.843146,140.6441617
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.8513976,140.6415008
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.833339,140.747437
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.827317,140.642123
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,岩魚沢林道,38.842912,140.7248
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.858537,140.65677
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.885602,140.72153
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.83528,140.630202
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.8616559,140.6557845
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.860325,140.65705
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.8491412,140.640214
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.867401,140.67819
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,,38.825801,140.642658
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.868995,140.666859
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.857663,140.654447
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.85237,140.648161
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,,38.8479291,140.639521
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,,38.867316,140.678106
